// Format: German words | English translation
#Small Talk:
hallo, wie geht's, mir geht's gut, freut mich | hello how are you good a pleasure
woher kommst du, ich bin Ire aber ich lebe in Deutschland | where are you from from ireland but i live in germany
was machst du beruflich, ich bin ingenieur | what do you do for work i am an engineer
ich habe einen Bruder und drei Schwestern | i have a brother and three sisters
ich habe zwei Kinder, zwei Söhne und eine Tochter | i have two kids 2 sons and a daughter
guten Morgen, guten Abend, tschüss, bis später | good morning good evening goodbye see you later
bitte, danke, entschuldigung, ich verstehe | please thank you sorry i understand

#More small talk
ich habe Hunger, ich muss etwas essen | i am hungry i need to eat something
ich habe Durst, ich muss etwas trinken | i am thirsty i need to drink something
lass mich in Ruhe | leave me alone
außerdem sehr gut. warte hier | Also Very good. Wait here.
schau mich an woher kommst du bist du sicher bis später | Look at me. Where are you from? Are you sure? See you later
woher kommst du guten Tag ich weiß nicht ich habe Hunger ich habe Durst | Where are you from? Good afternoon. I don't know. I'm hungry. I'm thirsty.
bis später wie spät ist es wie heißt du | See you later. What time is it? What's your name?
schwer. einfach. nicht einfach. ich wohne in Deutschland. ich bin Ire. großartig. wunderbar. | Hard. Easy. Not easy. I live in Germany. I'm Irish. Great. Amazing.
ja und nein. wie viel? ich bin müde. wo? | Yes and no. How much? I'm tired. Where?
lecker teuer ich bin hier ich bin dort | Delicious. Expensive. I'm here. I'm there.
wie ist das Wetter heute? ich habe eine Frage lass uns gehen ich habe kein Geld freut mich | How's the weather today? I have a question. Let's go. I have no money. Nice to meet you.
Freut mich, dich kennenzulernen | Nice to meet you
hallo wie geht's | Hello, how are you?
jemand, niemand, alle | someone nobody everybody

#Even more:
Mir geht's gut danke, und dir | I'm fine thanks, and you?
mein Name ist James | My name is James
ich kann nicht viel Türkisch | I don't know much Turkish
aber ich möchte es lernen | But I want to learn
kannst du mir helfen | can you help me?
ich lerne Türkisch | I'm learning Turkish
ich habe es nicht verstanden kannst du das wiederholen | I didn't understand, can you repeat?
kannst du langsamer sprechen | Can you speak more slowly?
woher kommst du | Where are you from?
ich komme aus Amerika | I am from America
was bedeutet das | What does this mean?
heute ist das Wetter schön | The weather is nice today
ich brauche Hilfe | I need help
wie alt bist du | How old are you?
was machst du beruflich | What do you do for work?
ich habe Hunger lass uns essen | I'm hungry, let's eat
ich möchte Wasser trinken | I want to drink water
wie spät ist es | What time is it?
es ist sehr teuer gibt es etwas Billigeres | It's very expensive, is there something cheaper?
wo wohnst du | Where do you live?
Tschüss bis morgen | Goodbye, see you tomorrow
bitte danke | Please thank you
gern geschehen | you're welcome
Kaffee Tee Milch Zucker | Coffee tea milk sugar
heute morgen gestern | Today tomorrow yesterday
Morgen Mittag Abend Nacht | Morning noon evening night

#Useful:
großartig, wunderbar, fantastisch, unglaublich, perfekt, erstaunlich | fabulous, wonderful, fantastic, unbelieveable, perfect, amazing
Ich lerne jeden Tag ein bisschen mehr. Zumindest noch nicht. Was ist das? | I learn a little more every day. at least not yet. Whats that?
Na, was geht, Kumpel! Was machst du? Wirklich? Hast du's gecheckt! Kein Problem! Ich lieb's! | well mate, whats up? really? really! no problem. I loved it.
Um wie viel Uhr machst du zu? Geht dich nichts an. Bist du verrückt? | what tiem you closed? none of your business! you crazy?
Wo wohnst du? Schau mich an. Woher kommst du? Bist du sicher? Warte hier. Bis später. | Where do you live? Look at me. Where are you from? Are you sure? Wait here. See you later.
Sprichst du Türkisch? Ich spreche ein bisschen. Aber ich möchte es lernen | Do you speak Turkish? I speak a little. But I want to learn.
Ich verstehe nicht viel. Ich spreche nur ein bisschen. | I don't understand very much. I speak only a little.
Hast du den Verstand verloren? Das geht dich nichts an | Are you out of your mind? That is none of your business
Was machst du heute? Lass uns gehen | what are you doing today? lets go
Nichts Besonderes. Und du | not much. And you?
Guten Morgen. Okay, ich muss gehen. Lass uns gehen. | Good morning. Well, I have to go. lets go.

#Questions:
warum bist du gegangen? was hast du gegessen? | why did you go? what did you eat?
was haben wir gefunden? wen hast du gesehen? | what did we find? who did you see?
wann bist du angekommen? | when did you arrive?
wo war das Auto? wohin wirst du gehen? wie war das Wetter? | where was the car? where will you go? how was the weather?
wer, warum, wann, wo, was, wie | who, why, when, where, what, how.

#Colours and Numbers:
rot, blau, grün, gelb | red blue green yellow
orange, lila, rosa, braun | orange purple pink brown
schwarz, weiß, grau, beige | black white gray beige
gold, silber, kupfer, bronze | gold silver copper bronze
marineblau, türkis, hellblau, dunkelgrün | navy turquoise light-blue dark-green
eins, zwei, drei, vier | one two three four
fünf, sechs, sieben, acht | five six seven eight
neun, zehn, elf, zwölf | nine ten eleven twelve
zwanzig, dreißig, vierzig, fünfzig | twenty thirty forty fifty
hundert, tausend, million, milliarde | hundred thousand million billion
sechzig, siebzig, achtzig, neunzig | sixty seventy eighty ninety
