// Format: Greek (latin letters) | English translation  
#Small Talk:  
geia, ti kaneis, eimai kala, chairo poly  | hello how are you, I'm fine, pleased  
apo pou eisai? eimai Irlandos omos katoiko sti Germania  | where are you from, I am Irish but I live in Germany  
ti douleia kaneis? eimai michanikos  | what do you do for work; I am an engineer  
echo enan adelfo kai treis adelfes  | I have a brother and three sisters  
echo tria paidia, dyo gious kai mia kori  | I have three kids, two sons and a daughter  
kalimera, kalispera, antio, ta leme  | good morning good evening goodbye see you later  
parakalo, efcharisto, sygnomi, katalaveno  | please thank you sorry I understand  

#More small talk  
peinao, prepei na fao kati  | I am hungry I need to eat something  
dipsao, prepei na pio kati  | I am thirsty I need to drink something  
afise me isycho  | leave me alone  
epipleon poly kala. perimene edo  | also very good. wait here  
koita me, apo pou eisai? eisai sigouros? ta leme  | look at me. where are you from? are you sure? see you later  
apo pou eisai? kalo apogevma; den ksero; peinao; dipsao  | where are you from? Good afternoon. I don't know. I'm hungry. I'm thirsty.  
ta leme argotera, ti ora einai, pos se lene  | see you later. what time is it? what's your name?  
dyskolo. efkolo. ochi aplo. meno sti Germania. eimai Irlandos. yperocho. thavmasio.  | hard. easy. not simple. I live in Germany. I'm Irish. great. amazing.  
nai kai ochi. poso? eimai kourasmenos. pou?  | yes and no. how much? I'm tired. where?  
nostimo, akrivó, eimai edo, vriskomai ekei  | delicious. expensive. I'm here. I'm there.  
pos einai o kairos simera? erotisi· pame· den diatheto chrimata· chairo poly  | how's the weather today? question. let's go. I have no money. nice to meet you.  
chairo gia ti gnorimia  | nice to meet you  
geia sou, pos paei  | hello, how are you?  
kapoios, kaneis, oloi  | someone nobody everybody  

#Even more:  
eimai kala efcharisto, ki esy?  | I'm fine thanks, and you?  
me lene Tzeims  | my name is James  
den ksero poly tourkika  | I don't know much Turkish  
alla thelo na ta matho  | but I want to learn  
boreis na voithiseis?  | can you help me?  
mathaino tourkika  | I'm learning Turkish  
den katalava· boreis na epanalaveis?  | I didn't understand, can you repeat?  
boreis na milas pio arga?  | can you speak more slowly?  
apo pou eisai?  | where are you from?  
erchomai apo Amerika  | I am from America  
ti simainei afto?  | what does this mean?  
simera o kairos einai kalos  | the weather is nice today  
chreiazomai voitheia  | I need help  
poson eton eisai?  | how old are you?  
ti douleia kaneis?  | what do you do for work?  
peinao, pame na fame  | I'm hungry, let's eat  
thelo na pio nero  | I want to drink water  
ti ora einai?  | what time is it?  
einai poly akrivó, yparchei kati fthinotero?  | it's very expensive, is there something cheaper?  
pou meneis?  | where do you live?  
antio, ta leme avrio  | goodbye, see you tomorrow  
parakalo efcharisto  | please thank you  
parakalo  | you're welcome  
kafes tsai gala zachari  | coffee tea milk sugar  
simera avrio chthes  | today tomorrow yesterday  
proi mesimeri apogevma nychta  | morning noon evening night  

#Useful  
yperocho, thavmasio, fantastiko, apistefto, teleio, katapliktiko  | fabulous wonderful fantastic unbelievable perfect amazing  
mathaino ligo perissotero kathe mera. touleaston ochi akoma. ti einai afto?  | I learn a little more every day. at least not yet. what's that?  
loipon, nea file! pos pas? alithia? tsekares? kanena provlima! latrevo!  | well mate, what's up? what are you doing? really? really! no problem. I loved it.  
ti ora kleineis? den se afora. eisai trelos?  | what time you closed? none of your business! you crazy?  
pou meneis? koita me. apo pou erchesai? ola kala? perimene edo. ta leme  | where do you live? look at me. where are you from? all good? wait here. see you later.  
milas tourkika? milo ligo. alla tha ithela na matho  | do you speak Turkish? I speak a little. but I would like to learn.  
den katalaveno poly. milo mono ligo.  | I don't understand very much. I only speak a little.  
echases to myalo sou? den se afora  | are you out of your mind? that is none of your business  
ti kaneis simera? pame  | what are you doing today? let's go  
tipota idiaitero. esi?  | not much. and you?  
kalimera. endaxi, prepei na fugo. pame.  | good morning. okay, I have to go. let's go.  

#Questions  
giati efyges? ti efages?  | why did you go? what did you eat?  
ti vrikame? poion eides?  | what did we find? who did you see?  
pote eftases?  | when did you arrive?  
