// Format: Russian words | English translation : hint
#Small Talk:
Привет, как дела, у меня всё хорошо, приятно познакомиться | hello how are you, I'm fine, pleased to meet you : privet, kak dela, u menya vsyo khorosho, priyatno poznakomitsya
Откуда ты? Я ирландец, но живу в Германии | where are you from, I am Irish but I live in Germany : otkuda ty? ya irlandets, no zhivu v Germanii
Кем ты работаешь? Я инженер | what do you do for work; I am an engineer : kem ty rabotaesh? ya inzhener
У меня есть брат и три сестры | I have a brother and three sisters : u menya yest brat i tri sestry
У меня трое детей, два сына и дочь | I have three kids, two sons and a daughter : u menya troe detey, dva syna i doch
Доброе утро, добрый вечер, до свидания, увидимся позже | good morning good evening goodbye see you later : dobroe utro, dobryy vecher, do svidaniya, uvidimsya pozhe
Пожалуйста, спасибо, извините, я понимаю | please thank you sorry I understand : pozhaluysta, spasibo, izvinite, ya ponimayu

#More small talk
Я голоден, мне нужно что-нибудь поесть | I am hungry I need to eat something : ya goloden, mne nuzhno chto-nibud poyest
Я хочу пить, мне нужно что-нибудь выпить | I am thirsty I need to drink something : ya khochu pit, mne nuzhno chto-nibud vypit
Оставь меня в покое | leave me alone : ostav menya v pokoye
Тоже очень хорошо. Подожди здесь | also very good. wait here : tozhe ochen khorosho. podozhdi zdes
Посмотри на меня. Откуда ты? Ты уверен? Увидимся позже | look at me. where are you from? are you sure? see you later : posmotri na menya. otkuda ty? ty uveren? uvidimsya pozhe
Откуда ты? Добрый день. Я не знаю. Я голоден. Я хочу пить | where are you from? good afternoon. I don't know. I'm hungry. I'm thirsty. : otkuda ty? dobryy den. ya ne znayu. ya goloden. ya khochu pit
Увидимся позже. Который час? Как тебя зовут | see you later. what time is it? what's your name? : uvidimsya pozhe. kotoryy chas? kak tebya zovut
Трудно. Легко. Не просто. Я живу в Германии. Я ирландец. Отлично. Удивительно | hard. easy. not simple. I live in Germany. I'm Irish. great. amazing. : trudno. legko. ne prosto. ya zhivu v Germanii. ya irlandets. otlichno. udivitelno
Да и нет. Сколько? Я устал. Где? | yes and no. how much? I'm tired. where? : da i net. skolko? ya ustal. gde
Вкусно. Дорого. Я здесь. Я там | delicious. expensive. I'm here. I'm there. : vkusno. dorogo. ya zdes. ya tam
Какая сегодня погода? Вопрос. Пошли. У меня нет денег. Приятно познакомиться | how's the weather today? question. let's go. I have no money. nice to meet you. : kakaya segodnya pogoda? vopros. poshli. u menya net deneg. priyatno poznakomitsya
Приятно познакомиться | nice to meet you : priyatno poznakomitsya
Привет, как дела | hello, how are you? : privet, kak dela
Кто-нибудь, никто, все | someone nobody everybody : kto-nibud, nikto, vse

#Even more:
У меня всё хорошо, спасибо, а у тебя? | I'm fine thanks, and you? : u menya vsyo khorosho, spasibo, a u tebya
Меня зовут Джеймс | my name is James : menya zovut Dzheyms
Я мало знаю турецкий | I don't know much Turkish : ya malo znayu turetskiy
Но я хочу выучить | but I want to learn : no ya khochu vyuchit
Вы можете помочь? | can you help me? : vy mozhete pomoch
Я учу турецкий | I'm learning Turkish : ya uchu turetskiy
Я не понял, можете повторить? | I didn't understand, can you repeat? : ya ne ponyal, mozhete povtorit
Можете говорить помедленнее? | can you speak more slowly? : mozhete govorit pomedlennee
Откуда вы? | where are you from? : otkuda vy
Я из Америки | I am from America : ya iz Ameriki
Что это значит? | what does this mean? : chto eto znachit
Сегодня хорошая погода | the weather is nice today : segodnya khoroshaya pogoda
Мне нужна помощь | I need help : mne nuzhna pomoshch
Сколько тебе лет? | how old are you? : skolko tebe let
Кем вы работаете? | what do you do for work? : kem vy rabotaete
Я голоден, давай поедим | I'm hungry, let's eat : ya goloden, davay poyedim
Я хочу пить воду | I want to drink water : ya khochu pit vodu
Который час? | what time is it? : kotoryy chas
Это очень дорого, есть что-нибудь подешевле? | it's very expensive, is there something cheaper? : eto ochen dorogo, yest chto-nibud podeshevle
Где ты живёшь? | where do you live? : gde ty zhivyosh
До свидания, увидимся завтра | goodbye, see you tomorrow : do svidaniya, uvidimsya zavtra
Пожалуйста спасибо | please thank you : pozhaluysta spasibo
Пожалуйста | you're welcome : pozhaluysta
Кофе чай молоко сахар | coffee tea milk sugar : kofe chay moloko sakhar
Сегодня завтра вчера | today tomorrow yesterday : segodnya zavtra vchera
Утро полдень вечер ночь | morning noon evening night : utro polden vecher noch

#Useful
Великолепно, замечательно, фантастично, невероятно, идеально, потрясающе | fabulous wonderful fantastic unbelievable perfect amazing : velikolepno, zamechatelno, fantastichno, neveroyatno, idealno, potryasayushche
Я каждый день учу немного больше. По крайней мере пока нет. Что это? | I learn a little more every day. at least not yet. what's that? : ya kazhdyy den uchu nemnogo bolshe. po krainey mere poka net. chto eto
Ну, приятель! Как дела? Что делаешь? Правда? Серьёзно! Без проблем! Мне понравилось! | well mate, what's up? what are you doing? really? really! no problem. I loved it. : nu, priyatel! kak dela? chto delayesh? pravda? seryozno! bez problem! mne ponravilos
Во сколько закрываетесь? Не твоё дело! Ты что, сумасшедший? | what time you closed? none of your business! you crazy? : vo skolko zakryvayetes? ne tvoyo delo! ty chto, sumasshedshiy
Где ты живёшь? Посмотри на меня. Откуда ты? Всё хорошо? Подожди здесь. Увидимся позже. | where do you live? look at me. where are you from? all good? wait here. see you later. : gde ty zhivyosh? posmotri na menya. otkuda ty? vsyo khorosho? podozhdi zdes. uvidimsya pozhe
Ты говоришь по-турецки? Я немного говорю. Но хотел бы выучить | do you speak Turkish? I speak a little. but I would like to learn. : ty govorish po turetski? ya nemnogo govoryu. no hotel by vyuchit
