// Format: German words | English translation
#Small Talk:
hallo, wie geht's, mir geht es gut, freut mich | hello how are you, I'm fine, pleased
woher kommst du, bin Ire aber ich lebe in Deutschland | where are you from, I'm Irish but I live in Germany
was machst du beruflich, ich bin ingenieur | what do you do for work I am an engineer
ich habe einen Bruder und drei Schwestern | i have a brother and three sisters
ich habe drei Kinder, zwei Söhne und eine Tochter | i have three kids, two sons and a daughter
guten Morgen, schönen Abend, tschüss, bis später | good morning nice evening goodbye see you later
bitte, danke, entschuldigung, ich verstehe | please thank you sorry i understand

#More small talk
ich bin hungrig, muss etwas essen | i am hungry need to eat something
ich bin durstig, muss etwas trinken | i am thirsty need to drink something
lass mich in Ruhe | leave me alone
außerdem sehr gut. warte hier | Also very good. Wait here.
schau mich an woher kommst du bist sicher bis später | look at me where are you from are you sure see you later
woher kommst du guten Tag weiß nicht habe Hunger bin durstig | where are you from good afternoon i don't know i'm hungry i'm thirsty
bis später sag mir die Uhrzeit wie heißt du | see you later tell me the time what's your name
schwer. einfach. nicht leicht. ich wohne in Deutschland. bin Ire. großartig. wunderbar. | hard easy not simple i live in Germany I'm Irish great amazing
ja und nein. wie viel? ich bin müde. wo? | yes and no. how much? I'm tired. where?
lecker teuer ich bin hier dort drüben | delicious expensive I'm here over there
wie ist das Wetter heute? habe eine Frage lass uns gehen besitze kein Geld freut mich | how's the weather today? have a question let's go i have no money nice to meet you
Freut mich, dich kennenzulernen | nice to meet you
hallo wie geht's | hello, how are you?
jemand, niemand, alle | someone nobody everybody

#Even more:
Mir geht's gut danke, und dir | I'm fine thanks, and you?
mein Name ist James | my name is James
ich kann nicht viel Türkisch | I don't know much Turkish
aber ich möchte es lernen | but I want to learn
kannst du mir helfen | can you help me?
ich lerne Türkisch | I'm learning Turkish
ich habe es nicht verstanden kannst du das wiederholen | I didn't understand, can you repeat?
kannst du langsamer sprechen | can you speak more slowly?
woher kommst du | where are you from?
ich komme aus Amerika | I am from America
was bedeutet das | what does this mean?
heute ist das Wetter schön | the weather is nice today
ich brauche Hilfe | I need help
wie alt bist du | how old are you?
was machst du beruflich | what do you do for work?
ich habe Hunger lass uns essen | I'm hungry, let's eat
ich möchte Wasser trinken | I want to drink water
wie spät ist es | what time is it?
es ist sehr teuer gibt etwas Billigeres | it’s very expensive is there something cheaper
wo wohnst du | where do you live?
Tschüss bis morgen | goodbye see you tomorrow
bitte danke | please thank you
gern geschehen | you're welcome
Kaffee Tee Milch Zucker | coffee tea milk sugar
heute morgen gestern | today tomorrow yesterday
Morgen Mittag Abend Nacht | morning noon evening night

#Useful:
großartig, wunderbar, fantastisch, unglaublich, perfekt, erstaunlich | fabulous wonderful fantastic unbelievable perfect amazing
Ich lerne jeden Tag ein bisschen mehr. Zumindest noch nicht. Was ist das? | I learn a little more every day. at least not yet. what's that?
Na, wie läuft's, Kumpel! Was machst du? Wirklich? Hast du's gecheckt! Kein Problem! Ich lieb's! | hey how's it going buddy what are you doing really did you check no problem i love it
Um wie viel Uhr machst du zu? Geht dich nichts an. Bist verrückt? | what time do you close none of your business are you crazy
Wo wohnst du? Schau mich an. Woher kommst? Bist sicher? Warte hier. Bis später. | where do you live look at me where are you from sure wait here see you later
Sprichst du Türkisch? Spreche ein bisschen. Aber ich möchte es lernen | do you speak Turkish I speak a little but I want to learn
Ich verstehe nicht viel. Spreche nur ein bisschen. | I don't understand very much only speak a little
Hast du den Verstand verloren? Das geht dich nichts an | are you out of your mind that is none of your business
Was machst du heute? Lass uns gehen | what are you doing today let's go
Nichts Besonderes. Und du | not much and you
Guten Morgen. Okay, ich muss gehen. Lass uns los. | good morning ok I have to go let's head off

#Questions:
warum bist gegangen? was hast du gegessen? | why did you leave what did you eat
was haben wir gefunden? wen hast du gesehen? | what did we find who did you see
wann bist du angekommen? | when did you arrive
wo stand der Wagen? wohin wirst du gehen? wie herrschte die Witterung? | where was the car where will you go how was the weather
wer, warum, wann, wo, was, wie | who why when where what how

#Colours and Numbers:
rot, blau, grün, gelb | red blue green yellow
orange, lila, rosa, braun | orange purple pink brown
schwarz, weiß, grau, beige | black white gray beige
gold, silber, kupfer, bronze | gold silver copper bronze
marineblau, türkis, hellblau, dunkelgrün | navy turquoise light-blue dark-green
eins, zwei, drei, vier | one two three four
fünf, sechs, sieben, acht | five six seven eight
neun, zehn, elf, zwölf | nine ten eleven twelve
