// Format: Greek words | English translation : hint
#Basics:
Γεια σου, καλημέρα, πώς είσαι; | Hello, good morning, how are you? : geiá sou, kaliméra, pós íse?
Πολύ καλά, ευχαριστώ. Κι εσύ; | Very well, thank you. And you? : polí kalá, efcharistó. Ki esý?
Με λένε Μαρία. Πώς σε λένε; | My name is Maria. What's your name? : me léne María. Pós se léne?
Από πού είσαι; | Where are you from? : apó poú íse?
Είμαι από την Ιρλανδία, αλλά τώρα ζω στη Γερμανία. | I'm from Ireland, but I now live in Germany. : eímai apó tin Irladnía, allá tóra zó sti Germanía.
Μου αρέσει να είμαι εδώ. Οι άνθρωποι είναι φιλικοί | I like it here. The people are friendly : mou arési na eímai edó. Oi ánthropoi eínai filikoí
και ο καιρός είναι ευχάριστος | and the weather is nice : kai o kairós eínai efcháristos
Μπορώ να σε βοηθήσω; | can I help you? : boró na se voithíso?
Μπορείς να με βοηθήσεις; | can you help me? : borís na me voithísis?
Ναι, μπορώ να σε βοηθήσω | yes I can help you : naí, boró na se voithíso
Ήδη μιλάω γερμανικά, αγγλικά και λίγο γαλλικά | I already speak German, English and a little French : ídi miláo germaniká, angliká kai lígo galliká
αλλά θέλω να μιλήσω ισπανικά | But I want to speak Spanish. : allá thélo na milíso ispaniká
πρέπει να μάθω ισπανικά | I have to learn Spanish. : prépei na mátho ispaniká
Θα μιλήσω ισπανικά! | I'm going to speak Spanish! : Tha milíso ispaniká!
Το θέμα είναι… | The thing is... : To théma eínai…
Μπορώ να δώ το σπίτι | I can see the house : boró na dó to spíti
Είμαι κουρασμένος, θέλω να πάω σπίτι | I'm tired, I want to go home : eímai kourasménos, thélo na páo spíti
Πεινάω, χρειάζομαι να φάω κάτι | I'm hungry, I need to eat something : Peináo, chreiázomai na fáo káti
Πρέπει να πιω κάτι | I have to drink something : Prépei na pió káti

#Small Talk:  
Γεια σου, τι κάνεις, είμαι καλά, Χαίρω πολύ  | hello how are you, I'm fine, pleased to meet you : yia sou, ti kanis, ime kala, chairo poli
από πού είσαι; είμαι Ιρλανδός όμως κατοικώ στη Γερμανία  | where are you from, I am Irish but I live in Germany : apo pou eisai? eimai Irlandos omos katoiko sti Germania
τι δουλειά κάνεις; είμαι μηχανικός  | what do you do for work; I am an engineer  : ti douleia kaneis? eimai michanikos
έχω έναν αδελφό και τρεις αδελφές  | I have a brother and three sisters  : echo enan adelfo kai treis adelfes
έχω τρία παιδιά, δύο γιους και μια κόρη  | I have three kids, two sons and a daughter  : echo tria paidia, dyo gious kai mia kori
καλημέρα, καλησπέρα, αντίο, τα λέμε  | good morning good evening goodbye see you later  : kalimera, kalispera, antio, ta leme
παρακαλώ, ευχαριστώ, συγνώμη, καταλαβαίνω  | please thank you sorry I understand : parakalo, efcharisto, sygnomi, katalaveno

#More small talk
πεινάω, πρέπει να φάω κάτι  | I am hungry I need to eat something  : peinao, prepei na fao kati
διψάω, πρέπει να πιω κάτι  | I am thirsty I need to drink something  : dipsao, prepei na pio kati
άφησέ με ήσυχο  | leave me alone  : afise me isycho
επιπλέον πολύ καλά. περίμενε εδώ  | also very good. wait here  : epipleon poly kala. perimene edo
κοίτα με, από πού είσαι; είσαι σίγουρος; τα λέμε  | look at me. where are you from? are you sure? see you later  : koita me, apo pou eisai? eisai sigouros? ta leme
από πού είσαι; καλό απόγευμα· δεν ξέρω· πεινάω· διψώ  | where are you from? good afternoon. I don't know. I'm hungry. I'm thirsty.  : apo pou eisai? kalo apogevma· den ksero· peinao· dipso
τα λέμε αργότερα, τι ώρα είναι, πώς σε λένε  | see you later. what time is it? what's your name?  : ta leme argotera, ti ora einai, pos se lene
δύσκολο. εύκολο. όχι απλό. μένω στη Γερμανία. είμαι Ιρλανδός. υπέροχο. θαυμάσιο.  | hard. easy. not simple. I live in Germany. I'm Irish. great. amazing.  : dyskolo. efkolo. ochi apló. meno sti Germania. eimai Irlandos. yperoxo. thavmasio.
ναι και όχι. πόσο; είμαι κουρασμένος. πού;  | yes and no. how much? I'm tired. where?  : nai kai ochi. poso? eimai kourasmenos. pou?
