// Format: Farsi words | English translation : hint
#Small Talk:
سلام، حالت چطوره، من خوبم، خوشوقتم | hello how are you, I'm fine, pleased to meet you : salam, hâlet chetore, man khobam, khoshvaghtam
اهل کجایی؟ من ایرلندی‌ام اما در آلمان زندگی می‌کنم | where are you from, I am Irish but I live in Germany : ahl-e kojâyi? man irlandi-am ammâ dar âlmân zendegi mikonam
شغلت چیه؟ من مهندس هستم | what do you do for work; I am an engineer : shoghlat chiye? man mohandes hastam
من یک برادر و سه خواهر دارم | I have a brother and three sisters : man yek barâdar va se khâhar dâram
من سه فرزند دارم، دو پسر و یک دختر | I have three kids, two sons and a daughter : man se farzand dâram, do pesar va yek dokhtar
صبح بخیر، عصر بخیر، خداحافظ، بعداً می‌بینمت | good morning good evening goodbye see you later : sobh bekheir, asr bekheir, khodâhâfez, ba'dan mibinamet
لطفاً، متشکرم، ببخشید، می‌فهمم | please thank you sorry I understand : lotfan, moteshakeram, bebakhshid, mifahmam

#More small talk
من گرسنه‌ام، باید چیزی بخورم | I am hungry I need to eat something : man gorsne-am, bâyad chizi bokhoram
من تشنه‌ام، باید چیزی بنوشم | I am thirsty I need to drink something : man teshne-am, bâyad chizi benusham
من را تنها بگذار | leave me alone : man râ tanhâ begzâr
خیلی هم خوب. اینجا منتظر بمان | also very good. wait here : kheyli ham khub. injâ montazer bemân
به من نگاه کن. اهل کجایی؟ مطمئنی؟ بعداً می‌بینمت | look at me. where are you from? are you sure? see you later : be man negâh kon. ahl-e kojâyi? motma'en-i? ba'dan mibinamet
اهل کجایی؟ عصر بخیر؛ نمی‌دانم؛ گرسنه‌ام؛ تشنه‌ام | where are you from? good afternoon. I don't know. I'm hungry. I'm thirsty. : ahl-e kojâyi? asr bekheir; nemidânam; gorsne-am; teshne-am
بعداً می‌بینمت، ساعت چنده، اسمت چیه | see you later. what time is it? what's your name? : ba'dan mibinamet, sâ'at chande, esmet chiye
سخت. آسان. ساده نیست. من در آلمان زندگی می‌کنم. من ایرلندی‌ام. عالی. شگفت‌انگیز. | hard. easy. not simple. I live in Germany. I'm Irish. great. amazing. : sakht. âsân. sâde nist. man dar âlmân zendegi mikonam. man irlandi-am. âli. shegeft-angiz
بله و خیر. چقدر؟ خسته‌ام. کجا؟ | yes and no. how much? I'm tired. where? : bale va kheir. cheghadr? khaste-am. kojâ?
خوشمزه، گران، من اینجا هستم، من آنجا هستم | delicious. expensive. I'm here. I'm there. : khoshmazze, gerân, man injâ hastam, man ânjâ hastam
هوا امروز چطوره؟ سؤال؛ بریم؛ پول ندارم؛ خوشوقتم | how's the weather today? question. let's go. I have no money. nice to meet you. : havâ emruz chetore? so'âl; berim; pul nadâram; khoshvaghtam
از دیدنت خوشوقتم | nice to meet you : az didanet khoshvaghtam
سلام، چطوری | hello, how are you? : salam, chetori
کسی، هیچ‌کس، همه | someone nobody everybody : kasi, hichkas, hame

#Even more:
خوبم، ممنون، تو چطور؟ | I'm fine thanks, and you? : khobam, mamnun, to chetor
اسم من جیمز است | my name is James : esme man James ast
من زیاد ترکی نمی‌دانم | I don't know much Turkish : man ziyâd torki nemidânam
اما می‌خواهم یاد بگیرم | but I want to learn : ammâ mikhâham yâd begiram
می‌توانی کمکم کنی؟ | can you help me? : mitavâni komakam koni
دارم ترکی یاد می‌گیرم | I'm learning Turkish : dâram torki yâd migiram
نفهمیدم؛ می‌توانی تکرار کنی؟ | I didn't understand, can you repeat? : nafahmidam; mitavâni tekrar koni
می‌توانی آهسته‌تر صحبت کنی؟ | can you speak more slowly? : mitavâni âheste-tar sohbat koni
اهل کجایی؟ | where are you from? : ahl-e kojâyi
من اهل آمریکا هستم | I am from America : man ahl-e Âmrikâ hastam
این یعنی چه؟ | what does this mean? : in yani che
امروز هوا خوب است | the weather is nice today : emruz havâ khub ast
به کمک نیاز دارم | I need help : be komak niyâz dâram
چند سال داری؟ | how old are you? : chand sâl dâri
شغلت چیه؟ | what do you do for work? : shoghlat chiye
گرسنه‌ام، بیا غذا بخوریم | I'm hungry, let's eat : gorsne-am, biyâ ghazâ bokhorim
می‌خواهم آب بنوشم | I want to drink water : mikhâham âb benusham
ساعت چند است؟ | what time is it? : sâ'at chand ast
خیلی گران است، چیز ارزان‌تری دارید؟ | it's very expensive, is there something cheaper? : kheyli gerân ast, chiz-e arzân-tari dârid
کجا زندگی می‌کنی؟ | where do you live? : kojâ zendegi mikoni
خداحافظ، فردا می‌بینمت | goodbye, see you tomorrow : khodâhâfez, fardâ mibinamet
لطفاً متشکرم | please thank you : lotfan moteshakeram
خواهش می‌کنم | you're welcome : khâhesh mikonam
قهوه چای شیر شکر | coffee tea milk sugar : qahve chây shir shekar
امروز فردا دیروز | today tomorrow yesterday : emruz fardâ diruz
صبح ظهر عصر شب | morning noon evening night : sobh zohr asr shab

#Useful
عالی، شگفت‌انگیز، فوق‌العاده، باورنکردنی، کامل، حیرت‌آور | fabulous wonderful fantastic unbelievable perfect amazing : âli, shegeft-angiz, fogh-olâde, bâvar-nakardani, kâmel, heyrat-âvar
هر روز کمی بیشتر یاد می‌گیرم. حداقل هنوز نه. آن چیست؟ | I learn a little more every day. at least not yet. what's that? : har ruz kami bishtar yâd migiram. hadaghal hanuz na. ân chist
خب رفیق! چه خبر؟ چه کار می‌کنی؟ واقعاً؟ جدی! مشکلی نیست! خوشم آمد! | well mate, what's up? what are you doing? really? really! no problem. I loved it. : khob rafigh! che khabar? che kâr mikoni? vâghan? jedi! moshkeli nist! khosham âmad
کی تعطیل می‌کنید؟ به تو ربطی ندارد! دیوانه‌ای؟ | what time you closed? none of your business! you crazy? : key ta'til mikonid? be to rabti nadârad! divâne-i
کجا زندگی می‌کنی؟ به من نگاه کن. اهل کجایی؟ همه چیز خوبه؟ اینجا صبر کن. بعداً می‌بینمت | where do you live? look at me. where are you from? all good? wait here. see you later. : kojâ zendegi mikoni? be man negâh kon. ahl-e kojâyi? hame chiz khube? injâ sabr kon. ba'dan mibinamet
ترکی بلدی؟ کمی صحبت می‌کنم. اما دوست دارم یاد بگیرم | do you speak Turkish? I speak a little. but I would like to learn. : torki baladi? kami sohbat mikonam. ammâ dust dâram yâd begiram
خیلی نمی‌فهمم. فقط کمی صحبت می‌کنم | I don't understand very much. I only speak a little. : kheyli nemifahmam. faqat kami sohbat mikonam
