// Format: Italian words | English translation
#Small Talk:
ciao, come stai, sto bene, piacere | hello how are you, I'm fine, pleased
da dove vieni, sono irlandese ma vivo in Germania | where are you from from ireland but i live in germany
che lavoro fai, sono ingegnere | what do you do for work i am an engineer
ho un fratello e tre sorelle | i have a brother and three sisters
ho tre figli, due maschi e una figlia | i have 3 kids 2 sons and a daughter
buongiorno, buonasera, ciao, a dopo | good morning good evening goodbye see you later
per favore, grazie, scusa, capisco | please thank you sorry i understand

#More small talk
ho fame, devo mangiare qualcosa | i am hungry i need to eat something
ho sete, devo bere qualcosa | i am thirsty i need to drink something
lasciami in pace | leave me alone
inoltre molto bene. aspetta qui | Also Very good. Wait here.
guardami da dove vieni sei sicuro a dopo | Look at me. Where are you from? Are you sure? See you later
da dove vieni buon pomeriggio non so ho fame ho sete | Where are you from? Good afternoon. I don't know. I'm hungry. I'm thirsty.
a dopo che ore sono come ti chiami | See you later. What time is it? What's your name?
difficile. facile. non facile. vivo in Germania. sono irlandese. fantastico. meraviglioso. | Hard. Easy. Not easy. I live in Germany. I'm Irish. Great. Amazing.
sì e no. quanto? sono stanco. dove? | Yes and no. How much? I'm tired. Where?
delizioso costoso sono qui sono lì | Delicious. Expensive. I'm here. I'm there.
com'è il tempo oggi? ho una domanda andiamo non ho soldi piacere | How's the weather today? I have a question. Let's go. I have no money. Nice to meet you.
piacere di conoscerti | Nice to meet you
ciao come stai | Hello, how are you?
qualcuno, nessuno, tutti | someone nobody everybody

#Even more:
sto bene grazie, e tu | I'm fine thanks, and you?
il mio nome è James | My name is James
non conosco molto il turco | I don't know much Turkish
ma vorrei impararlo | But I want to learn
puoi aiutarmi | can you help me?
sto imparando il turco | I'm learning Turkish
non ho capito puoi ripetere | I didn't understand, can you repeat?
puoi parlare più lentamente | Can you speak more slowly?
da dove vieni | Where are you from?
vengo dall'America | I am from America
che cosa significa | What does this mean?
oggi il tempo è bello | The weather is nice today
ho bisogno di aiuto | I need help
quanti anni hai | How old are you?
che lavoro fai | What do you do for work?
ho fame andiamo a mangiare | I'm hungry, let's eat
voglio bere acqua | I want to drink water
che ore sono | What time is it?
è molto costoso c'è qualcosa di più economico | It's very expensive, is there something cheaper?
dove abiti | Where do you live?
ciao a domani | Goodbye, see you tomorrow
per favore grazie | Please thank you
prego | you're welcome
caffè tè latte zucchero | Coffee tea milk sugar
oggi domani ieri | Today tomorrow yesterday
mattina mezzogiorno sera notte | Morning noon evening night

#Useful:
grandioso, meraviglioso, fantastico, incredibile, perfetto, sorprendente | fabulous, wonderful, fantastic, unbelieveable, perfect, amazing
imparo un po' di più ogni giorno. almeno non ancora. che cos'è | I learn a little more every day. at least not yet. Whats that?
ehi, che succede, amico! cosa fai? davvero? hai controllato! nessun problema! lo adoro! | well mate, whats up? really? really! no problem. I loved it.
a che ora chiudi? non sono affari tuoi. sei pazzo | what tiem you closed? none of your business! you crazy?
dove abiti? guardami. da dove vieni? sei sicuro? aspetta qui. a dopo. | Where do you live? Look at me. Where are you from? Are you sure? Wait here. See you later.
parli turco? parlo un po'. ma vorrei impararlo | Do you speak Turkish? I speak a little. But I want to learn.
non capisco molto. parlo solo un po'. | I don't understand very much. I speak only a little.
hai perso la testa? non ti riguarda | Are you out of your mind? That is none of your business
cosa fai oggi? andiamo | what are you doing today? lets go
niente di speciale. e tu | not much. And you?
buongiorno. ok, devo andare. andiamo. | Good morning. Well, I have to go. lets go.

#Questions:
perché sei andato? che cosa hai mangiato? | why did you go? what did you eat?
che cosa abbiamo trovato? chi hai visto? | what did we find? who did you see?
quando sei arrivato? | when did you arrive?
dov'era l'auto? dove andrai? com'era il tempo? | where was the car? where will you go? how was the weather?
chi, perché, quando, dove, cosa, come | who, why, when, where, what, how.

#Colours and Numbers:
rosso, blu, verde, giallo | red blue green yellow
arancione, viola, rosa, marrone | orange purple pink brown
nero, bianco, grigio, beige | black white gray beige
oro, argento, rame, bronzo | gold silver copper bronze
blu navy, turchese, azzurro, verde scuro | navy turquoise light-blue dark-green
uno, due, tre, quattro | one two three four
cinque, sei, sette, otto | five six seven eight
nove, dieci, undici, dodici | nine ten eleven twelve
venti, trenta, quaranta, cinquanta | twenty thirty forty fifty
cento, mille, milione, miliardo | hundred thousand million billion
sessanta, settanta, ottanta, novanta | sixty seventy eighty ninety
