// Format: Algerian Arabic words | English translation : hint

#new1
سلام، واش راك؟ | Hello, how are you? : salam, wesh rak?
اللّون اللي نحب كثر هو زرق | My favourite colour is blue : l-loun li nḥebb kṯer howa zraq
الرّقم اللي نحب كثر هو ثمانية | My favourite number is eight : raqam li nḥebb kṯer howa ṯmanya
نحب نشوف بشحال نقدر نتعلم الدارجة | I want to see how quickly I can learn Darja : nḥebb nshuf bšḥal neqder nʿallem d-darja
حبيت نشوف بشحال قدرت نتعلمها | I wanted to see how quickly I could learn it : ḥbbit nshuf bšḥal qdert nʿallem-ha
بديت بشوية، غير شوية كلمات وأفعال | I started slowly – just a few words and verbs : bdit bšwiya, ghir šwiya d kalimāt w afʿāl
نقدر نهدر غير شوية، ماشي بزاف، مازال | I can speak only a little, not much yet : nqdar nhdar ghir šwiya, mâši bzzāf, mazāl
حمر/حمرا، كحل/كحلة، بيض/بيضة، زرق/زرقة، خضر/خضرة | red, black, white, blue, green : 7mer/7amra, kḥel/kḥla, byāḍ/byāḍa, zraq/zarqa, khḍer/khḍra

#intros
صباح الخير! | Good morning! : Sbah el-khir!
صباح النور | (reply) Morning of light : Sbah ennour
واش راك؟ / واش راكي؟ | How are you? (m / f) : Wesh rak? / Wesh raki?
واش راك اليوم؟ | How are you today? (m) : Wesh rak lyôm?
لاباس؟ راك مليح / مليحة؟ | All good? / Are you well/fine? (m / f) : Labas? Rak mlih / mliha?
واش اسمك؟ | What is your name? : Wesh smek?
واش اسمكم؟ | What is your (plural / polite) name? : Wesh smekum?
اسمي جيمس | My name is James : Ismi James
وين تسكني؟ | Where do you live? (to a woman) : Win teskuni?
راني نسكن في ألمانيا. | I live in Germany. : Rani neskun f Almanya.
رقدت مليح؟ | Did you sleep well? : Rqadt mlih?

#coffee
مادابيا لي نشرب قهوة معك. | I’d love to have coffee with you. : Madabiali neshreb qahwa mʿak.
نحب نشرب قهوة معك. | I’d like to drink coffee with you. : Nebb nsrab qahwa mʿak.
