    // Format: Japanese words | English translation : hint
#Small Talk:
こんにちは  、 元気 ？ 私 は 元気 です    はじめまして | hello how are you, I'm fine, pleased to meet you : konnichiwa, genki? watashi wa genki desu, hajimemashite
どこ から 来た の？ 私 は アイルランド 人 だけど ドイツ に 住んで います | where are you from, I am Irish but I live in Germany : doko kara kita no? watashi wa Airurando-jin dakedo Doitsu ni sunde imasu
お仕事 は 何 です か？ 私 は エンジニア です | what do you do for work; I am an engineer : oshigoto wa nan desu ka? watashi wa enjinia desu
兄 が 一人 と 妹 が 三人 います | I have a brother and three sisters : ani ga hitori to imōto ga sannin imasu
子ども が 三人 、 息子 が 二人 と 娘 が 一人 います | I have three kids, two sons and a daughter : kodomo ga sannin, musuko ga futari to musume ga hitori imasu
おはよう 、 こんばんは 、 さようなら 、 また 後で | good morning good evening goodbye see you later : ohayō, konbanwa, sayōnara, mata ato de
お願いします 、 ありがとう 、 ごめんなさい 、 わかります | please thank you sorry I understand : onegai shimasu, arigatō, gomen nasai, wakarimasu

#More small talk:
お腹が空いた、何か食べないと | I am hungry I need to eat something : onaka ga suita, nanika tabenai to
喉が渇いた、何か飲まないと | I am thirsty I need to drink something : nodo ga kawaita, nanika nomanai to
ほっといて | leave me alone : hottoite
とてもいいよ。ここで待って | also very good. wait here : totemo ii yo. koko de matte
私を見て。どこから？本当に？またね | look at me. where are you from? are you sure? see you later : watashi o mite. doko kara? hontō ni? mata ne
どこから来たの？こんにちは；知らない；お腹空いた；喉渇いた | where are you from? good afternoon. I don't know. I'm hungry. I'm thirsty. : doko kara kita no? konnichiwa; shiranai; onaka suita; nodo kawaita
また後で、今何時？名前は？ | see you later. what time is it? what's your name? : mata ato de, ima nanji? namae wa?
難しい。簡単。簡単じゃない。ドイツに住んでいる。私はアイルランド人。すごい。素晴らしい。 | hard. easy. not simple. I live in Germany. I'm Irish. great. amazing. : muzukashii. kantan. kantan janai. Doitsu ni sunde iru. watashi wa Airurando-jin. sugoi. subarashii
はいといいえ。いくら？疲れた。どこ？ | yes and no. how much? I'm tired. where? : hai to iie. ikura? tsukareta. doko?
おいしい。高い。私はここ。私はそこ。 | delicious. expensive. I'm here. I'm there. : oishii. takai. watashi wa koko. watashi wa soko
今日の天気は？質問；行こう；お金がない；はじめまして | how's the weather today? question. let's go. I have no money. nice to meet you. : kyō no tenki wa? shitsumon; ikō; okane ga nai; hajimemashite
お会いできて嬉しいです | nice to meet you : o‐ai dekite ureshii desu
やあ、調子は？ | hello, how are you? : yā, chōshi wa?
誰か、誰もいない、みんな | someone nobody everybody : dareka, dare mo inai, minna

#Even more
元気です、ありがとう、あなたは？ | I'm fine thanks, and you? : genki desu, arigatō, anata wa?
私の名前はジェームズです | my name is James : watashi no namae wa Jēmuzu desu
トルコ語はあまり分かりません | I don't know much Turkish : Toruko-go wa amari wakarimasen
でも習いたいです | but I want to learn : demo naraitai desu
手伝ってくれますか？ | can you help me? : tetsudatte kuremasu ka?
トルコ語を勉強しています | I'm learning Turkish : Toruko-go o benkyō shite imasu
分かりませんでした；もう一度お願いします | I didn't understand, can you repeat? : wakarimasen deshita; mō ichido onegai shimasu
ゆっくり話してくれますか？ | can you speak more slowly? : yukkuri hanashite kuremasu ka?
