// Format: Algerian Arabic words | English translation : hint
#Small Talk:
سلام، واش راك؟ راني لاباس، متشرفين | hello how are you, I'm fine, pleased to meet you : salam, wach rak? rani labas, mtsharfin
منين انت؟ أنا إيرلندي بصح ساكن في ألمانيا | where are you from, I am Irish but I live in Germany : menin nta? ana irlandi bṣaḥ sakin fi lmania
واش تخدم؟ أنا مهندس | what do you do for work; I am an engineer : wach tkhdem? ana muhendis
عندي خو واحد وثلاث خيات | I have a brother and three sisters : andi khu waḥed w tlata khayyat
عندي ثلاثة دراري، زوج دراري ودرّية | I have three kids, two sons and a daughter : andi tlata drari, zuj drari w drriya
صباح الخير، مسا الخير، تهلاّ، نشوفك من بعد | good morning good evening goodbye see you later : ṣbaḥ el-khir, msa el-khir, thalla, nshufek men baʿd
عافاك، بارك الله فيك، سمحلي، فهمت | please thank you sorry I understand : ʿafak, barak allah fik, smḥli, fhemt

#More small talk
راني جوعان، لازم ناكل حاجة | I am hungry I need to eat something : rani juʿan, lazem nakul ḥaja
راني عطشان، لازم نشرب حاجة | I am thirsty I need to drink something : rani ʿaṭshan, lazem nshreb ḥaja
خلّيني وحدي | leave me alone : khallini waḥdi
حتى هو مزيان بزاف. استنى هنا | also very good. wait here : ḥetta hwa mzian bzzaf. stanna hna
شوف فيّا. منين انت؟ متأكد؟ نشوفك من بعد | look at me. where are you from? are you sure? see you later : shuf fiya. menin nta? mtaʾked? nshufek men baʿd
منين انت؟ نهارك مبروك؛ ما نعرفش؛ راني جوعان؛ راني عطشان | where are you from? good afternoon. I don't know. I'm hungry. I'm thirsty. : menin nta? nhark mbruk; ma naʿrafsh; rani juʿan; rani ʿaṭshan
نشوفك من بعد، شحال فالساعة، شنو اسمك | see you later. what time is it? what's your name? : nshufek men baʿd, shḥal f ssaʿa, shnu smek
صعيب. ساهل. ماشي بسيط. ساكن في ألمانيا. أنا إيرلندي. رائع. هايل | hard. easy. not simple. I live in Germany. I'm Irish. great. amazing. : ṣʿib. sahl. mashi bṣiṭ. sakin fi lmania. ana irlandi. raʾeʿ. hayel
إييه ولا. شحال؟ راني عيّان. وين؟ | yes and no. how much? I'm tired. where? : eyya wla. shḥal? rani ʿayyan. win?
بنّين. غالي. راني هنا. راني تمام | delicious. expensive. I'm here. I'm there. : bennin. ghali. rani hna. rani temm
كيفاش الجو اليوم؟ سؤال؛ يلا نمشيو؛ ما عنديش دراهم؛ متشرفين | how's the weather today? question. let's go. I have no money. nice to meet you. : kifash ljaw lyum? suʾal; yalla nmshiw; ma ʿandish drahm; mtsharfin
فرحانين بالتعارف | nice to meet you : farḥanin b-ttaʿaruf
سلام، واش حوالك | hello, how are you? : salam, wach ḥwalek
شي واحد، حتى واحد، الجميع | someone nobody everybody : shi waḥed, ḥatta waḥed, ljamiʿ

#Even more
راني لاباس، شكراً، وانت؟ | I'm fine thanks, and you? : rani labas, shukran, w nta?
اسمي جيمس | my name is James : ismi Jims
ما نعرفش بزاف تركي | I don't know much Turkish : ma naʿrafsh bzzaf turki
بصح حاب نتعلّم | but I want to learn : bṣaḥ ḥab ntʿallam
تقدر تعاون؟ | can you help me? : tqdar tʿawn?
راني نتعلّم تركي | I'm learning Turkish : rani ntʿallam turki
ما فهمتش؛ تقدر تعاود؟ | I didn't understand, can you repeat? : ma fhemtsh; tqdar tʿawd?
تقدر تهدر بشوية؟ | can you speak more slowly? : tqdar thdr b-shwiya?
منين راك؟ | where are you from? : menin rak?
أنا من مريكان | I am from America : ana men merikan
شنو معنى هادا؟ | what does this mean? : shnu maʿna hada?
